"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Italy","2021","Total","Male","Trieste","City proper","Estimate - de jure","Final figure, complete","2022","96058","1"
"Italy","2021","Total","Male","Venezia","City proper","Estimate - de jure","Final figure, complete","2022","121598","1"
"Italy","2021","Total","Male","Verona","City proper","Estimate - de jure","Final figure, complete","2022","122572","1"
"Italy","2021","Total","Male","Vicenza","City proper","Estimate - de jure","Final figure, complete","2022","53015","1"
"Italy","2021","Total","Female","Bari","City proper","Estimate - de jure","Final figure, complete","2022","164574","1"
"Italy","2021","Total","Female","Bergamo","City proper","Estimate - de jure","Final figure, complete","2022","63006","1"
"Italy","2021","Total","Female","Bologna","City proper","Estimate - de jure","Final figure, complete","2022","204574","1"
"Italy","2021","Total","Female","Bolzano","City proper","Estimate - de jure","Final figure, complete","2022","55357","1"
"Italy","2021","Total","Female","Brescia","City proper","Estimate - de jure","Final figure, complete","2022","102359","1"
"Italy","2021","Total","Female","Cagliari","City proper","Estimate - de jure","Final figure, complete","2022","79998","1"
"Italy","2021","Total","Female","Catania","City proper","Estimate - de jure","Final figure, complete","2022","156413","1"
"Italy","2021","Total","Female","Ferrara","City proper","Estimate - de jure","Final figure, complete","2022","68700","1"
"Italy","2021","Total","Female","Firenze","City proper","Estimate - de jure","Final figure, complete","2022","193331","1"
"Italy","2021","Total","Female","Foggia","City proper","Estimate - de jure","Final figure, complete","2022","75062","1"
"Italy","2021","Total","Female","Forli","City proper","Estimate - de jure","Final figure, complete","2022","60209","1"
"Italy","2021","Total","Female","Genova","City proper","Estimate - de jure","Final figure, complete","2022","295809","1"
"Italy","2021","Total","Female","Giugliano in Campania","City proper","Estimate - de jure","Final figure, complete","2022","62081","1"
"Italy","2021","Total","Female","Latina","City proper","Estimate - de jure","Final figure, complete","2022","65325","1"
"Italy","2021","Total","Female","Livorno","City proper","Estimate - de jure","Final figure, complete","2022","80410","1"
"Italy","2021","Total","Female","Messina","City proper","Estimate - de jure","Final figure, complete","2022","115609","1"
"Italy","2021","Total","Female","Milano","City proper","Estimate - de jure","Final figure, complete","2022","704964","1"
"Italy","2021","Total","Female","Modena","City proper","Estimate - de jure","Final figure, complete","2022","95997","1"
"Italy","2021","Total","Female","Monza","City proper","Estimate - de jure","Final figure, complete","2022","63494","1"
"Italy","2021","Total","Female","Napoli","City proper","Estimate - de jure","Final figure, complete","2022","480210","1"
"Italy","2021","Total","Female","Novara","City proper","Estimate - de jure","Final figure, complete","2022","52491","1"
"Italy","2021","Total","Female","Padova","City proper","Estimate - de jure","Final figure, complete","2022","109149","1"
"Italy","2021","Total","Female","Palermo","City proper","Estimate - de jure","Final figure, complete","2022","332813","1"
"Italy","2021","Total","Female","Parma","City proper","Estimate - de jure","Final figure, complete","2022","101084","1"
"Italy","2021","Total","Female","Perugia","City proper","Estimate - de jure","Final figure, complete","2022","85138","1"
"Italy","2021","Total","Female","Pescara","City proper","Estimate - de jure","Final figure, complete","2022","62813","1"
"Italy","2021","Total","Female","Piacenza","City proper","Estimate - de jure","Final figure, complete","2022","53093","1"
"Italy","2021","Total","Female","Prato","City proper","Estimate - de jure","Final figure, complete","2022","101205","1"
"Italy","2021","Total","Female","Ravenna","City proper","Estimate - de jure","Final figure, complete","2022","80311","1"
"Italy","2021","Total","Female","Reggio di Calabria","City proper","Estimate - de jure","Final figure, complete","2022","90180","1"
"Italy","2021","Total","Female","Reggio nell'Emilia","City proper","Estimate - de jure","Final figure, complete","2022","86585","1"
"Italy","2021","Total","Female","Rimini","City proper","Estimate - de jure","Final figure, complete","2022","77680","1"
"Italy","2021","Total","Female","ROMA","City proper","Estimate - de jure","Final figure, complete","2022","1451305","1"
"Italy","2021","Total","Female","Salerno","City proper","Estimate - de jure","Final figure, complete","2022","68315","1"
"Italy","2021","Total","Female","Sassari","City proper","Estimate - de jure","Final figure, complete","2022","63609","1"
"Italy","2021","Total","Female","Siracusa","City proper","Estimate - de jure","Final figure, complete","2022","59781","1"
"Italy","2021","Total","Female","Taranto","City proper","Estimate - de jure","Final figure, complete","2022","99103","1"
"Italy","2021","Total","Female","Terni","City proper","Estimate - de jure","Final figure, complete","2022","56488","1"
"Italy","2021","Total","Female","Torino","City proper","Estimate - de jure","Final figure, complete","2022","444893","1"
"Italy","2021","Total","Female","Trento","City proper","Estimate - de jure","Final figure, complete","2022","61153","1"
"Italy","2021","Total","Female","Trieste","City proper","Estimate - de jure","Final figure, complete","2022","103754","1"
"Italy","2021","Total","Female","Venezia","City proper","Estimate - de jure","Final figure, complete","2022","132416","1"
"Italy","2021","Total","Female","Verona","City proper","Estimate - de jure","Final figure, complete","2022","134437","1"
"Italy","2021","Total","Female","Vicenza","City proper","Estimate - de jure","Final figure, complete","2022","57688","1"
"Italy","2020","Total","Both Sexes","Bari","City proper","Estimate - de jure","Final figure, complete","2021","316244.5",""
"Italy","2020","Total","Both Sexes","Bergamo","City proper","Estimate - de jure","Final figure, complete","2021","120388",""
"Italy","2020","Total","Both Sexes","Bologna","City proper","Estimate - de jure","Final figure, complete","2021","393551",""
"Italy","2020","Total","Both Sexes","Bolzano","City proper","Estimate - de jure","Final figure, complete","2021","107655",""
"Italy","2020","Total","Both Sexes","Brescia","City proper","Estimate - de jure","Final figure, complete","2021","196822",""
"Italy","2020","Total","Both Sexes","Cagliari","City proper","Estimate - de jure","Final figure, complete","2021","150288.5",""
"Italy","2020","Total","Both Sexes","Catania","City proper","Estimate - de jure","Final figure, complete","2021","298311",""
"Italy","2020","Total","Both Sexes","Ferrara","City proper","Estimate - de jure","Final figure, complete","2021","132284",""
"Italy","2020","Total","Both Sexes","Firenze","City proper","Estimate - de jure","Final figure, complete","2021","367673",""
"Italy","2020","Total","Both Sexes","Foggia","City proper","Estimate - de jure","Final figure, complete","2021","148570",""
"Italy","2020","Total","Both Sexes","Forli","City proper","Estimate - de jure","Final figure, complete","2021","117849.5",""
