eoi_code,city,lat,lon,openaq_found,openaq_id,openaq_name
IT2064A,Gubbio,43.2739,12.6117,1,8196.0,Ghigiano
IT2066A,Gubbio,43.3583,12.5572,1,8195.0,Leonardo da Vinci
IT2067A,Gubbio,43.3178,12.6186,1,8194.0,Padule
IT2068A,Spoleto,42.7433,12.6664,0,,
IT2073A,Sassuolo,44.5394,10.7914,2,7621.0,PARCO EDILCARANI
IT2078A,Simeri Crichi,38.8705,16.6692,1,8329.0,Pietropaolo
IT2087A,Lamezia Terme,38.9596,16.2952,1,8521.0,Municipio
IT2089A,Catanzaro,38.9183,16.5792,1,8519.0,Parco della biodiversità mediterranea
IT2093A,Vibo Valentia,38.6646,16.0802,1,8516.0,Parco Urbano
IT2094A,Mammola,38.3909,16.2345,1,8311.0,Mammola
IT2097A,Alto Reno Terme,44.15,10.9261,1,8071.0,CASTELLUCCIO
IT2099A,Giano dell'Umbria,42.8047,12.5661,0,,
IT2100A,Magione,43.1331,12.2058,1,8197.0,Magione
IT2101A,Chieri,45.0028,7.8375,1,8515.0,Chieri - Bersezio
IT2104A,Valdilana,45.6642,8.1598,1,8513.0,Trivero - Ronco
IT2105A,Città di Castello,43.4569,12.2458,1,8198.0,C Castello
IT2107A,Cairo Montenotte,44.3832,8.2838,2,221498.0,IT2107A
IT2108A,Cairo Montenotte,44.3749,8.2987,1,221503.0,LOCALITA' BRAGNO - CAIRO MONTENOTTE
IT2109A,Amelia,42.5519,12.4197,1,8307.0,Amelia
IT2110A,Acri,39.4896,16.3868,1,8512.0,Acri
IT2111A,Martirano Lombardo,39.075,16.2314,1,8511.0,Martirano Lombardo
IT2112A,Rocca di Neto,39.1875,17.0103,1,8510.0,Rocca di Neto
IT2113A,Orvieto,42.7372,12.1367,1,8300.0,Ciconia2
IT2114A,Gubbio,43.3675,12.5469,1,8199.0,Semonte Alta
IT2116A,Cigliano,45.2948,8.0434,1,8509.0,Cigliano-Autostrada
IT2117A,Leini,45.1763,7.7116,1,8508.0,Leinì (ACEA) - Grande Torino
IT2118A,Mondovì,44.4018,7.8146,1,8507.0,Mondovì Aragno
IT2119A,Revello,44.7197,7.4262,1,8506.0,Revello - Staffarda
IT2121A,Borgomanero,45.6894,8.4584,1,8505.0,Borgomanero - Molli
IT2128A,Domodossola,46.1276,8.2921,1,8504.0,Domodossola - Curotti
IT2129A,Monfalcone,45.8053,13.522,1,2162998.0,Monfalcone - via Natisone
IT2131A,Grado,45.7316,13.4864,1,2162996.0,Fossalon - via Eraclea
IT2134A,Narni,42.5342,12.5219,1,8503.0,Narni Scalo
IT2139A,Brindisi,40.6458,17.9606,1,8063.0,TERMINAL PASSEGGERI
IT2141A,San Severo,41.6308,15.3867,1,229244.0,Posta del Principe
IT2142A,Lucera,41.5467,15.4408,1,8013.0,Azienda Russo
IT2143A,Monopoli,40.9614,17.2842,2,8616.0,MONOPOLI
IT2144A,Modugno,41.1078,16.7661,1,8281.0,IT2144A
IT2148A,Ceglie Messapica,40.6492,17.5125,1,8499.0,Ceglie Messapica
IT2151A,Torchiarolo,40.4894,18.0472,2,8606.0,TORCHIAROLO
IT2152A,Torviscosa,45.822,13.2714,2,2163023.0,Torviscosa - viale Marconi
IT2155A,Cengio,44.397,8.206,2,221505.0,IT2155A
IT2161A,Castel di Sangro,41.7794,14.1036,1,2162938.0,Castel di Sangro
IT2162A,Teramo,42.6656,13.7261,1,2166225.0,Gammarana
IT2166A,Chieti,42.3461,14.1378,1,2162994.0,Scuola Antonelli
IT2167A,Francavilla al Mare,42.4214,14.2792,1,2162992.0,Francavilla
IT2168A,Torino,45.0249,7.6491,2,2162935.0,Torino Lingotto
IT2169A,Bagnaria Arsa,45.8419,13.3019,1,2163022.0,Castions d.M. - via della Villa
IT2170A,Torviscosa,45.8108,13.2622,1,2163025.0,Malisana - via del Pino
IT2172A,Civitavecchia,42.0993,11.7983,-1,,
IT2174A,Latina,41.4511,12.8917,1,7549.0,Latina De Chirico
IT2177A,San Benedetto del Tronto,42.9444,13.8794,1,8496.0,San Benedetto del Tronto
IT2180A,Bojano,41.4845,14.4812,0,,
IT2200A,Sacile,45.9509,12.5017,1,6267695.0,Sacile - via Gramsci
IT2201A,Pordenone,45.9626,12.6559,1,2163017.0,Pordenone - via Marconi
IT2202A,Grumento Nova,40.2884,15.8914,1,8167.0,GRUMENTO 3
IT2203A,Viggiano,40.3349,15.9007,1,8266.0,VIGGIANO 1
IT2204A,Viggiano,40.3242,15.8674,1,8493.0,VIGGIANO - MASSERIA DE BLASIIS
