openaq_id,date,Year,Month,PM2_5,PM2_5_lag1,PM2_5_lag2,PM2_5_lag3,PM2_5_roll3_mean,PM2_5_roll3_std,PM10_lag1,NO2_lag1,O3_lag1,Temp_Mean_lag1,Wind_Speed_lag1,Precipitation_lag1,month_num,month_sin,month_cos,Green_Ratio,Latitude,Longitude
IT0707A,2024-09-01,2024,9,10.7,6.37,13.0,10.9,10.09,3.388406705223057,9.92,19.5,67.1,26.096774193548388,5.606451612903226,64.3,9,-1.0,-1.8369701987210297e-16,0.5042676573215039,45.6903,9.6439
IT0707A,2024-10-01,2024,10,28.5,10.7,6.37,13.0,10.023333333333332,3.366397679023366,16.6,22.3,25.3,18.726666666666667,7.646666666666667,194.9,10,-0.8660254037844386,0.5000000000000001,0.5042676573215039,45.6903,9.6439
IT0707A,2024-11-01,2024,11,26.5,28.5,10.7,6.37,15.19,11.728354530794196,37.4,33.7,17.9,15.048387096774194,6.983870967741935,256.3,11,-0.5000000000000004,0.8660254037844384,0.5042676573215039,45.6903,9.6439
IT0707A,2024-12-01,2024,12,27.7,26.5,28.5,10.7,21.899999999999995,9.750897394599171,32.9,37.2,18.3,7.1066666666666665,5.1066666666666665,10.8,12,-2.4492935982947064e-16,1.0,0.5042676573215039,45.6903,9.6439
IT0707A,2025-01-01,2025,1,35.1,27.7,26.5,28.5,27.566666666666666,1.0066445913699553,33.6,40.2,13.6,3.3451612903225807,4.732258064516128,32.699999999999996,1,0.49999999999999994,0.8660254037844387,0.5042676573215039,45.6903,9.6439
IT0707A,2025-02-01,2025,2,16.5,35.1,27.7,26.5,29.766666666666666,4.657610259922406,43.9,33.8,22.1,3.94516129032258,4.65483870967742,120.3,2,0.8660254037844386,0.5000000000000001,0.5042676573215039,45.6903,9.6439
IT0707A,2025-03-01,2025,3,12.2,16.5,35.1,27.7,26.433333333333334,9.364471866225792,20.9,26.2,54.7,5.596428571428571,4.360714285714286,63.8,3,1.0,6.123233995736766e-17,0.5042676573215039,45.6903,9.6439
IT0707A,2025-04-01,2025,4,7.03,12.2,16.5,35.1,21.266666666666666,12.171414598695346,16.1,19.1,72.6,9.525806451612905,5.512903225806451,131.6,4,0.8660254037844387,-0.49999999999999983,0.5042676573215039,45.6903,9.6439
IT0707A,2025-05-01,2025,5,13.2,7.03,12.2,16.5,11.909999999999998,4.7416558289273265,11.3,14.0,80.9,13.92,6.956666666666666,96.9,5,0.49999999999999994,-0.8660254037844387,0.5042676573215039,45.6903,9.6439
IT0707A,2025-06-01,2025,6,6.58,13.2,7.03,12.2,10.81,3.3115404270521065,21.4,14.2,114.0,17.27741935483871,6.909677419354838,224.7,6,1.2246467991473532e-16,-1.0,0.5042676573215039,45.6903,9.6439
IT0707A,2025-07-01,2025,7,11.0,6.58,13.2,7.03,8.936666666666667,3.6990043705480677,11.3,14.7,97.5,24.526666666666664,6.056666666666667,44.6,7,-0.4999999999999998,-0.8660254037844388,0.5042676573215039,45.6903,9.6439
IT0707A,2025-08-01,2025,8,4.35,11.0,6.58,13.2,10.26,3.371468522765774,15.7,12.0,91.0,23.561290322580643,5.570967741935483,201.5,8,-0.8660254037844384,-0.5000000000000004,0.5042676573215039,45.6903,9.6439
IT0707A,2025-09-01,2025,9,15.5,4.35,11.0,6.58,7.31,3.3845679192476408,10.1,14.3,61.1,23.425806451612903,5.516129032258065,167.1,9,-1.0,-1.8369701987210297e-16,0.5042676573215039,45.6903,9.6439
IT0707A,2025-10-01,2025,10,15.8,15.5,4.35,11.0,10.283333333333333,5.609441445753202,24.3,22.3,36.6,18.69333333333333,5.163333333333333,248.1,10,-0.8660254037844386,0.5000000000000001,0.5042676573215039,45.6903,9.6439
IT0707A,2025-11-01,2025,11,15.3,15.8,15.5,4.35,11.883333333333333,6.52578220088089,24.5,32.2,20.5,13.529032258064516,4.745161290322581,54.8,11,-0.5000000000000004,0.8660254037844384,0.5042676573215039,45.6903,9.6439
IT0771A,2024-03-01,2024,3,7.33,8.73,25.2,36.5,23.47666666666667,13.964978816071804,15.1,29.9,52.0,8.279310344827586,4.096551724137931,233.9,3,1.0,6.123233995736766e-17,0.4897858537545292,45.8044,9.0836
IT0771A,2024-04-01,2024,4,6.04,7.33,8.73,25.2,13.753333333333332,9.937788150958635,13.7,28.3,58.9,8.90967741935484,4.312903225806451,320.4,4,0.8660254037844387,-0.49999999999999983,0.4897858537545292,45.8044,9.0836
IT0771A,2024-05-01,2024,5,9.71,6.04,7.33,8.73,7.366666666666667,1.3453747928862114,10.9,25.9,56.5,12.186666666666667,5.296666666666667,129.7,5,0.49999999999999994,-0.8660254037844387,0.4897858537545292,45.8044,9.0836
IT0771A,2024-06-01,2024,6,12.3,9.71,6.04,7.33,7.693333333333334,1.8617823001988256,16.5,23.5,55.1,15.535483870967743,3.7516129032258063,363.8,6,1.2246467991473532e-16,-1.0,0.4897858537545292,45.8044,9.0836
IT0771A,2024-07-01,2024,7,13.4,12.3,9.71,6.04,9.350000000000001,3.1454888332340913,17.9,23.7,81.3,19.953333333333333,3.9866666666666664,240.9,7,-0.4999999999999998,-0.8660254037844388,0.4897858537545292,45.8044,9.0836
IT0771A,2024-08-01,2024,8,9.14,13.4,12.3,9.71,11.803333333333335,1.894474421398661,18.6,23.8,84.0,23.82903225806452,3.741935483870967,187.8,8,-0.8660254037844384,-0.5000000000000004,0.4897858537545292,45.8044,9.0836
IT0771A,2024-09-01,2024,9,9.74,9.14,13.4,12.3,11.613333333333335,2.2114550262968913,13.8,29.6,48.0,24.961290322580645,3.7193548387096778,87.2,9,-1.0,-1.8369701987210297e-16,0.4897858537545292,45.8044,9.0836
IT0771A,2024-10-01,2024,10,24.3,9.74,9.14,13.4,10.76,2.305905462069167,17.1,27.2,19.1,17.603333333333335,4.72,319.1,10,-0.8660254037844386,0.5000000000000001,0.4897858537545292,45.8044,9.0836
IT0771A,2024-11-01,2024,11,24.1,24.3,9.74,9.14,14.393333333333336,8.584668504568706,34.8,44.6,13.3,15.041935483870969,3.096774193548387,335.0,11,-0.5000000000000004,0.8660254037844384,0.4897858537545292,45.8044,9.0836
IT0771A,2024-12-01,2024,12,17.5,24.1,24.3,9.74,19.380000000000003,8.349083782068591,33.7,50.0,15.8,8.45,3.0866666666666664,27.0,12,-2.4492935982947064e-16,1.0,0.4897858537545292,45.8044,9.0836
IT0771A,2025-01-01,2025,1,29.0,17.5,24.1,24.3,21.96666666666667,3.869539162915165,24.1,42.4,18.6,5.874193548387097,3.203225806451613,16.0,1,0.49999999999999994,0.8660254037844387,0.4897858537545292,45.8044,9.0836
IT0771A,2025-02-01,2025,2,14.8,29.0,17.5,24.1,23.533333333333335,5.770904030854633,40.2,45.4,17.4,4.6,2.9096774193548387,186.3,2,0.8660254037844386,0.5000000000000001,0.4897858537545292,45.8044,9.0836
IT0771A,2025-03-01,2025,3,9.09,14.8,29.0,17.5,20.433333333333334,7.540778032360727,21.7,39.9,40.5,5.95,2.628571428571429,70.7,3,1.0,6.123233995736766e-17,0.4897858537545292,45.8044,9.0836
IT0771A,2025-04-01,2025,4,7.27,9.09,14.8,29.0,17.63,10.25225341083611,16.1,24.8,63.3,9.025806451612905,3.051612903225806,152.3,4,0.8660254037844387,-0.49999999999999983,0.4897858537545292,45.8044,9.0836
IT0771A,2025-05-01,2025,5,13.9,7.27,9.09,14.8,10.386666666666668,3.9288972159288753,12.8,21.0,66.5,13.373333333333331,3.7733333333333334,193.4,5,0.49999999999999994,-0.8660254037844387,0.4897858537545292,45.8044,9.0836
IT0771A,2025-06-01,2025,6,8.62,13.9,7.27,9.09,10.086666666666668,3.42552672348847,22.6,20.4,95.5,16.338709677419356,3.454838709677419,271.7,6,1.2246467991473532e-16,-1.0,0.4897858537545292,45.8044,9.0836
IT0771A,2025-07-01,2025,7,11.8,8.62,13.9,7.27,9.930000000000001,3.5037551284301123,14.2,19.6,76.4,23.540000000000003,3.396666666666667,231.7,7,-0.4999999999999998,-0.8660254037844388,0.4897858537545292,45.8044,9.0836
IT0771A,2025-08-01,2025,8,10.4,11.8,8.62,13.9,11.440000000000003,2.6583453500251584,18.5,16.9,72.2,22.44193548387097,3.593548387096774,211.8,8,-0.8660254037844384,-0.5000000000000004,0.4897858537545292,45.8044,9.0836
IT0771A,2025-09-01,2025,9,16.2,10.4,11.8,8.62,10.273333333333335,1.5937795748890946,18.3,23.2,41.9,22.848387096774193,3.261290322580645,313.1,9,-1.0,-1.8369701987210297e-16,0.4897858537545292,45.8044,9.0836
IT0771A,2025-10-01,2025,10,16.4,16.2,10.4,11.8,12.800000000000002,3.0265491900843817,24.7,31.7,24.4,18.18,2.9566666666666666,380.4,10,-0.8660254037844386,0.5000000000000001,0.4897858537545292,45.8044,9.0836
IT0771A,2025-11-01,2025,11,16.4,16.4,16.2,10.4,14.333333333333334,3.4078341117686204,23.6,34.9,17.4,13.570967741935483,3.148387096774193,94.4,11,-0.5000000000000004,0.8660254037844384,0.4897858537545292,45.8044,9.0836
IT0777A,2024-03-01,2024,3,8.97,10.2,27.4,40.9,26.166666666666668,15.387115822444903,21.0,25.2,,7.848275862068966,6.927586206896552,194.1,3,1.0,6.123233995736766e-17,0.6506756582781469,45.698,9.4062
IT0777A,2024-04-01,2024,4,7.29,8.97,10.2,27.4,15.523333333333333,10.303864970647364,17.7,24.6,,10.338709677419354,8.638709677419355,195.1,4,0.8660254037844387,-0.49999999999999983,0.6506756582781469,45.698,9.4062
IT0777A,2024-05-01,2024,5,9.32,7.29,8.97,10.2,8.82,1.4607874588728365,13.3,22.0,,12.93,7.686666666666667,89.2,5,0.49999999999999994,-0.8660254037844387,0.6506756582781469,45.698,9.4062
IT0777A,2024-06-01,2024,6,13.7,9.32,7.29,8.97,8.526666666666667,1.0851881557285263,17.6,19.2,,16.516129032258064,6.758064516129032,315.8,6,1.2246467991473532e-16,-1.0,0.6506756582781469,45.698,9.4062
