eoi_code,Year,Month,Temp_Mean,Wind_Speed,Precipitation
IT1737A,2020,5,18.406451612903226,7.635483870967741,108.0
IT1737A,2020,6,20.94,6.753333333333333,129.9
IT1737A,2020,7,24.729032258064517,6.248387096774193,91.2
IT1737A,2020,8,24.706451612903226,5.983870967741935,162.4
IT1737A,2020,9,20.31,5.906666666666666,106.2
IT1737A,2020,10,13.40967741935484,7.32258064516129,172.5
IT1737A,2020,11,9.313333333333333,4.806666666666667,7.5
IT1737A,2020,12,5.087096774193548,6.338709677419355,209.1
IT1737A,2021,1,2.829032258064516,6.54516129032258,91.2
IT1737A,2021,2,7.085714285714286,6.835714285714286,63.599999999999994
IT1737A,2021,3,9.225806451612904,6.622580645161291,6.9
IT1737A,2021,4,12.056666666666667,7.283333333333333,94.19999999999999
IT1737A,2021,5,16.096774193548388,8.083870967741936,143.5
IT1737A,2021,6,24.19,7.026666666666666,17.2
IT1737A,2021,7,24.138709677419353,7.116129032258065,159.3
IT1737A,2021,8,23.36774193548387,6.319354838709677,75.8
IT1737A,2021,9,21.013333333333332,5.903333333333333,79.39999999999999
IT1737A,2021,10,13.796774193548387,5.990322580645161,57.0
IT1737A,2021,11,8.58,6.526666666666667,185.4
IT1737A,2021,12,3.274193548387097,6.316129032258065,29.7
IT1737A,2022,1,2.9516129032258065,6.574193548387097,16.1
IT1737A,2022,2,6.678571428571429,7.4678571428571425,34.9
IT1737A,2022,3,8.48709677419355,6.9,6.6000000000000005
IT1737A,2022,4,13.033333333333333,8.05,53.8
IT1737A,2022,5,20.574193548387097,7.396774193548388,79.0
IT1737A,2022,6,25.633333333333333,7.573333333333333,82.4
IT1737A,2022,7,28.361290322580647,7.887096774193548,39.7
IT1737A,2022,8,26.258064516129032,6.793548387096774,54.2
IT1737A,2022,9,19.529999999999998,6.78,188.3
IT1737A,2022,10,17.57741935483871,5.816129032258065,136.20000000000002
IT1737A,2022,11,9.916666666666666,5.823333333333333,104.2
IT1737A,2022,12,5.425806451612903,5.316129032258065,111.2
IT1737A,2023,1,5.22258064516129,6.261290322580645,61.1
IT1737A,2023,2,6.214285714285714,7.7,15.5
IT1737A,2023,3,10.696774193548388,7.535483870967742,29.8
IT1737A,2023,4,12.916666666666666,7.556666666666667,89.5
IT1737A,2023,5,17.458064516129035,6.358064516129032,199.8
IT1737A,2023,6,23.02,6.333333333333333,103.3
IT1737A,2023,7,25.193548387096776,6.47741935483871,221.7
IT1737A,2023,8,25.990322580645163,7.377419354838709,139.5
IT1737A,2023,9,22.040000000000003,6.35,107.0
